"nome,""regiao"",""freq"",""rank"",""sexo"""
"MARIA,0,11694738,1,""F"""
"ANA,0,3079729,2,""F"""
"FRANCISCA,0,721637,3,""F"""
"ANTONIA,0,588783,4,""F"""
"ADRIANA,0,565621,5,""F"""
"JULIANA,0,562589,6,""F"""
"MARCIA,0,551855,7,""F"""
"FERNANDA,0,531607,8,""F"""
"PATRICIA,0,529446,9,""F"""
"ALINE,0,509869,10,""F"""
"SANDRA,0,479230,11,""F"""
"CAMILA,0,469851,12,""F"""
"AMANDA,0,464624,13,""F"""
"BRUNA,0,460770,14,""F"""
"JESSICA,0,456472,15,""F"""
"LETICIA,0,434056,16,""F"""
"JULIA,0,430067,17,""F"""
"LUCIANA,0,429769,18,""F"""
"VANESSA,0,417512,19,""F"""
"MARIANA,0,381778,20,""F"""
"GABRIELA,0,378807,21,""F"""
"VERA,0,376202,22,""F"""
"VITORIA,0,366797,23,""F"""
"LARISSA,0,360523,24,""F"""
"CLAUDIA,0,358175,25,""F"""
"BEATRIZ,0,354980,26,""F"""
"RITA,0,354720,27,""F"""
"LUANA,0,354625,28,""F"""
"SONIA,0,354487,29,""F"""
"RENATA,0,345195,30,""F"""
"ELIANE,0,342361,31,""F"""
"JOSEFA,0,340783,32,""F"""
"SIMONE,0,339535,33,""F"""
"NATALIA,0,334157,34,""F"""
"CRISTIANE,0,327248,35,""F"""
"CARLA,0,325334,36,""F"""
"DEBORA,0,312839,37,""F"""
"ROSANGELA,0,310226,38,""F"""
"JAQUELINE,0,307913,39,""F"""
"ROSA,0,306336,40,""F"""
"APARECIDA,0,303020,41,""F"""
"DANIELA,0,302915,42,""F"""
"MARLENE,0,301055,43,""F"""
"TEREZINHA,0,298311,44,""F"""
"RAIMUNDA,0,295061,45,""F"""
"ANDREIA,0,290970,46,""F"""
"FABIANA,0,290538,47,""F"""
"LUCIA,0,287153,48,""F"""
"RAQUEL,0,284610,49,""F"""
"ANGELA,0,278058,50,""F"""
"RAFAELA,0,272718,51,""F"""
"JOANA,0,268576,52,""F"""
"LUZIA,0,258278,53,""F"""
"ELAINE,0,256433,54,""F"""
"REGINA,0,252483,55,""F"""
"DANIELE,0,251469,56,""F"""
"SUELI,0,243899,57,""F"""
"DAIANE,0,243820,58,""F"""
"EDENIL,0,266,9960,""M"""
"AREOLINO,0,266,9969,""M"""
"VANDAIR,0,266,9944,""M"""
"ARLAM,0,266,9974,""M"""
"JILCIMAR,0,266,9948,""M"""
"IDESIO,0,266,9964,""M"""
"LINDOALDO,0,266,9947,""M"""
"ODETINO,0,266,9959,""M"""
"BENEITO,0,266,9973,""M"""
"WLSON,0,266,9967,""M"""
"DONARIO,0,266,9949,""M"""
"JARDENILSON,0,266,9946,""M"""
"ERIQUES,0,266,9975,""M"""
"LOTAR,0,266,9950,""M"""
"DINAIR,0,266,9954,""M"""
"WERBERSON,0,266,9955,""M"""
"KARINE,0,266,9968,""M"""
"OSMARILDO,0,265,9985,""M"""
"DEUSDEDITH,0,265,9982,""M"""
"CRISTHIANO,0,265,9994,""M"""
"ADELMARIO,0,265,9979,""M"""
"KELVISON,0,265,9997,""M"""
"NEILTO,0,265,9988,""M"""
"KENID,0,265,9983,""M"""
"MARONE,0,265,9981,""M"""
"FILIPPO,0,265,9986,""M"""
"TARCILO,0,265,9999,""M"""
"KERRISON,0,265,9990,""M"""
"DERNEVALDO,0,265,9989,""M"""
"ANDREILTON,0,265,9996,""M"""
"ELEDIR,0,265,9976,""M"""
"LEOZIR,0,265,9992,""M"""
"JAILAN,0,265,9980,""M"""
"ELIETON,0,265,9998,""M"""
"CLAUDEONOR,0,265,9995,""M"""
"CRECIO,0,265,9987,""M"""
"PROTAZIO,0,265,9978,""M"""
"RUBIAN,0,265,9993,""M"""
"LIZEU,0,265,9984,""M"""
"CARKOS,0,265,10001,""M"""
"CARLAN,0,265,9977,""M"""
"CARLOA,0,265,9991,""M"""
